               -15               -16               321              -311       0.00154  0
                15                16               311               311       0.00024  0
               -15               -16              -311              -311       0.00024  0
                15                16               311               311       0.00112  0
               -15               -16              -311              -311       0.00112  0
                15                16               311               311       0.00024  0
               -15               -16              -311              -311       0.00024  0
                15                16               311               311       0.00031  0
               -15               -16              -311              -311       0.00031  0
                15                16              -211               113          0.07  0
               -15               -16               211               113          0.07  0
                15                16              -211               211        0.0199  0
               -15               -16               211              -211        0.0199  0
                15                16              -211               211        0.0269  0
               -15               -16               211              -211        0.0269  0
                15                16              -211               211        0.0009  0
               -15               -16               211              -211        0.0009  0
                15                16              -211               211       0.00022  0
               -15               -16               211              -211       0.00022  0
                15                16              -321               113        0.0016  0
               -15               -16               321               113        0.0016  0
                15                16              -321               211       0.00173  0
               -15               -16               321              -211       0.00173  0
                15                16              -321               211       0.00031  0
               -15               -16               321              -211       0.00031  0
                15                16              -321               321       0.00153  0
               -15               -16               321              -321       0.00153  0
                15                16              -321               321       6.1e-05  0
               -15               -16               321              -321       6.1e-05  0
                15                16              -211               211      0.000838  0
               -15               -16               211              -211      0.000838  0
                15                16              -211               211      0.000178  0
               -15               -16               211              -211      0.000178  0
                15                16               221              -213        0.0015  0
               -15               -16               221               213        0.0015  0
                15                16               221              -211       0.00027  0
               -15               -16               221               211       0.00027  0
                15                16               221              -213       0.00015  0
               -15               -16               221               213       0.00015  0
                15                16               221              -211       0.00023  0
               -15               -16               221               211       0.00023  0
                15                16               221              -321       0.00027  0
               -15               -16               221               321       0.00027  0
                15                16               221              -323       0.00029  0
               -15               -16               221               323       0.00029  0
                15                16               221              -321         8e-05  0
               -15               -16               221               321         8e-05  0
                15                16               221              -311         3e-05  0
               -15               -16               221               311         3e-05  0
                15                16               223              -211      0.017873  0
               -15               -16               223               211      0.017873  0
                15                16               223              -321       0.00041  0
               -15               -16               223               321       0.00041  0
                15                16               223              -211        0.0041  0
               -15               -16               223               211        0.0041  0
                15                16               223              -211       0.00014  0
               -15               -16               223               211       0.00014  0
                15                16               223              -211       0.00012  0
               -15               -16               223               211       0.00012  0
                17               -24                18                 0             1  0
               -17                24               -18                 0             1  0
                18                24                17                 0             1  0
               -18               -24               -17                 0             1  0
                23                 1                -1                 0      0.153995  0
                23                 2                -2                 0       0.11942  0
                23                 3                -3                 0      0.153984  0
                23                 4                -4                 0      0.119259  0
                23                 5                -5                 0      0.152272  0
                23                11               -11                 0      0.033576  0
                23                12               -12                 0      0.066806  0
                23                13               -13                 0      0.033576  0
                23                14               -14                 0      0.066806  0
                23                15               -15                 0        0.0335  0
                23                16               -16                 0      0.066806  0
                24                -1                 2                 0      0.321369  0
               -24                 1                -2                 0      0.321369  0
                24                -1                 4                 0      0.016494  0
               -24                 1                -4                 0      0.016494  0
                24                -3                 2                 0      0.016502  0
               -24                 3                -2                 0      0.016502  0
                24                -3                 4                 0      0.320615  0
               -24                 3                -4                 0      0.320615  0
                24                -5                 2                 0         1e-05  0
               -24                 5                -2                 0         1e-05  0
                24                -5                 4                 0      0.000591  0
               -24                 5                -4                 0      0.000591  0
                24               -11                12                 0      0.108166  0
               -24                11               -12                 0      0.108166  0
                24               -13                14                 0      0.108166  0
               -24                13               -14                 0      0.108166  0
                24               -15                16                 0      0.108087  0
               -24                15               -16                 0      0.108087  0
                25                 1                -1                 0         1e-06  0
                25                 2                -2                 0             0  0
                25                 3                -3                 0      0.000349  0
                25                 4                -4                 0      0.048707  0
                25                 5                -5                 0      0.768308  0
                25                 6                -6                 0             0  0
                25                11               -11                 0             0  0
                25                13               -13                 0      0.000227  0
                25                15               -15                 0      0.064048  0
                25                21                21                 0      0.040621  0
                25                22                22                 0      0.002043  0
                25                22                23                 0      0.000615  0
                25                23                23                 0      0.006981  0
                25                24               -24                 0      0.068099  0
                25           1000022           1000022                 0             0  0
                25           1000023           1000022                 0             0  0
                25           1000023           1000023                 0             0  0
                25           1000025           1000022                 0             0  0
                25           1000025           1000023                 0             0  0
                25           1000025           1000025                 0             0  0
                25           1000035           1000022                 0             0  0
                25           1000035           1000023                 0             0  0
