# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
6.95  148989.96364191087  173381.39339415322  164063.68051183116
7.05  136708.55913313563  159126.13800555855  150279.2508714805
7.15  125683.99457006098  146153.36234050526  137759.51262304312
7.25  115629.27500445611  134339.75104096052  126384.35541086241
7.35  106455.33303859418  123561.98874889154  116026.60356424321
7.45  98073.10127474836  113722.65633145237  106601.47330272205
7.55  90409.3465192322  104744.06511308231  98010.05021575824
7.65  83397.76304262684  96538.66118957808  90167.55052288831
7.75  76978.97257978105  89036.15480686096  83017.4517038033
7.85  71099.53469205875  82169.95567159321  76489.10060811698
7.95  65708.9778540814  75880.87241191909  70513.96367995473
8.05  60763.75800473814  70118.34573104513  65051.7686235964
8.15  56224.28963392814  64833.049485758216  60050.93863926006
8.25  52053.956144808166  59981.823300746844  55469.08183671398
8.35  48256.7160883883  55525.206261440515  51268.0455147496
8.45  44818.714536133244  51429.90322117037  47412.50309817382
8.55  41645.93590155359  47662.61903326754  43872.78026382442
8.65  38718.58742959894  44194.991165384476  40620.61575154692
8.75  36014.89708971385  41003.589699494936  37631.280958706135
8.85  33516.06176460043  38062.518410412034  34881.460345674626
8.95  31206.247250218374  35352.046840850526  32351.371030344246
9.05  29069.619342527327  32851.21137994482  30021.23013060686
9.15  27092.323112992042  30543.981031150644  27874.080890369765
9.25  25261.493270829735  28411.858490763087  25894.379616548005
9.35  23565.254163010177  26443.745376559185  24067.995679064334
9.45  21992.71977425563  24622.377538414345  22382.21151084923
9.55  20533.993727040906  22937.889747685946  20824.309544833177
9.65  19180.16928159332  21379.183622151024  19384.3983399621
9.75  17923.32933589271  19935.160779586633  18052.58645518194
9.85  16756.546425671437  18595.955991350143  16819.68898094248
9.95  15670.913811156814  17355.403489539916  15678.640602205096
10.05  14662.472941338767  16203.638045513322  14621.669472427311
10.15  13724.29635194965  15135.72704494905  13641.710276570502
10.25  12850.446216474345  14144.27156636513  12733.817294107632
10.35  12037.95362165529  13223.10584185992  11890.92521000008
10.45  11280.880740977364  12367.297257112106  11109.501366728537
10.55  10575.269023430485  11572.15982851645  10383.18698075824
10.65  9918.149555757096  10832.390995677524  9709.155926073743
10.75  9305.365859396608  10143.921351780258  9082.462482148012
10.85  8733.454202215205  9502.928120725628  8500.280522965595
10.95  8199.643598505829  8905.958472488719  7958.370859503321
11.05  7701.262026336673  8349.559577044609  7453.907365745742
11.15  7235.538500000684  7830.895181158543  6983.922609376637
11.25  6800.295816442315  7347.005716237734  6546.085036433259
11.35  6393.257808830772  6895.301559763492  6137.992439802478
11.45  6012.643129211515  6473.686350649261  5757.313265521548
11.55  5656.472502079508  6079.940412450447  5402.210531680428
11.65  5323.0635432554645  5712.090699438529  5070.8472563690775
11.75  5011.030759885856  5368.410796601042  4761.457110827841
11.85  4718.691767791399  5047.050973567499  4472.556378898605
11.95  4444.85900166907  4746.531446041501  4202.66134442326
12.05  4188.245932440592  4465.372429726659  3950.429597544471
12.15  3947.664994802939  4202.340771042641  3714.66003470567
12.25  3722.0275872283414  3956.0800010510875  3494.080899199905
12.35  3510.4430357395304  3725.480281529703  3287.8443532225415
12.45  3311.8227388087325  3509.3084588981596  3094.749293217015
12.55  3125.3749862339337  3306.947956366292  2913.9478813786886
12.65  2950.209104037864  3117.04230499574  2744.662933053316
